"CTA Data","Date range: 2022-11-02 - 2022-12-01"
"CTA Name","CTA Label","Campaign","Created At","Updated At","Views","Views -> Clicks","Clicks","Clicks -> Submisisons","Submissions","CTA ID","CTA Group ID","Links to URL"
"Beratungsgespräch buchen","Default CTA","Blog performance","2022-08-23","2022-08-23","0","0.0","0","0.0","0","ea4a2793-a62d-48d1-bb04-f42b223bfcc9","cefa9b6b-9f72-4163-a57b-a3f391cd19e2","https://meetings.hubspot.com/linda-frischling/15-min-chat"
"Blog CTA DE Beratungsgespräch Buchen","Default CTA","","2022-05-25","2022-05-25","0","0.0","0","0.0","0","2b351689-1c38-4779-a3b9-61a07e4d2bb4","a87ffb8b-dd5c-41d3-9d07-29f572a96235","https://www.legartis.ai/de/resources/get-in-touch"
"Blog CTA DE Legal Tech Guide","Default CTA","Whitepaper","2022-05-25","2022-05-25","52","0.0","0","0.0","0","8ac71594-9e59-478d-999e-066229d8b131","b94721bf-fbb3-4617-8613-99edf93aa88a","https://www.legartis.ai/de/resources/legaltech-guide"
"Blog CTA DE Legal Tech Infographic","Default CTA","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","10","0.2","2","1.0","2","5b727499-bb96-4a73-a8e9-aec462e651e7","ced1c6e4-c609-413b-bd81-dcd47444dd9f","https://resources.legartis.ai/infografik-legal-technology-einfuehren"
"Blog CTA DE Legal Tech Map","Default CTA","Legal Tech Map","2022-05-25","2022-05-25","269","0.01486988847583643","4","0.5","2","a8277fda-993a-46f3-b98c-3f0c8a8a51e9","79b79437-f2d2-490e-ac0d-f2e12ebb0d44","https://www.legartis.ai/de/resources/legal-tech-unternehmen"
"Blog CTA EN Legal Tech Guide","Default CTA","Whitepaper","2022-05-25","2022-05-25","11","0.0","0","0.0","0","df86a75d-f5e6-44c3-a157-bd47a258389e","0225801c-dc07-4f45-9978-9500c3a1e08c","https://www.legartis.ai/resources/legaltech-guide"
"Blog CTA EN Legal Tech Infographic","Default CTA","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","4","0.0","0","0.0","0","aa18aa04-21df-4410-a205-9884e5574f31","d91c9b40-517c-4c3d-b556-09650133a08d","https://resources.legartis.ai/infographic-legal-technology"
"Blog CTA EN Legal Tech Map","Default CTA","Legal Tech Map","2022-05-25","2022-05-25","79","0.0","0","0.0","0","1c89adb7-786f-48b3-aff3-c4b1e81d2734","d79a56df-a339-4fcc-9e58-32414d6a5d60","https://www.legartis.ai/resources/legal-tech-companies"
"Blog CTA EN Solution Brief Legal","Default CTA","Solution Briefs","2022-05-25","2022-05-25","15","0.0","0","0.0","0","9559ae6b-a259-4a95-862b-42f74b362c33","33d4d35a-d31e-41b5-9472-1ff0df82ff51","https://www.legartis.ai/legal-ai"
"Book Demo","Default CTA","Product Demo","2021-04-08","2021-04-08","0","0.0","0","0.0","0","210d6601-aaf2-406d-9010-d56e8acefbd4","60f2dff1-53e9-4c47-bf08-f28b74669d15","https://resources.legartis.ai/book-product-demo"
"Book Free Consultation","Default CTA","Webinar reinvent & ZF","2021-03-15","2021-03-15","0","0.0","0","0.0","0","5c03aaba-2c36-4dad-9e1d-4d7ea4735a61","0910fecf-acc9-4e6a-aae6-ecf3860c9041","https://resources.legartis.ai/book-free-consultation"
"Book Live Demo","Default CTA","Solution Briefs","2021-06-04","2021-06-04","0","0.0","0","0.0","0","bea53dd2-5b2a-4207-9eaa-9faa811bd84a","50c0b7c9-0e41-470d-ae70-ee13d7333101","https://www.legartis.ai/resources/book-demo"
"Button CTA","Default CTA","","2022-07-18","2022-07-18","0","0.0","0","0.0","0","7eac250e-4404-4a47-b639-0609c4e98979","99c66a67-02e3-43d4-b6c7-c60f585fdf0f","https://4640853.hubspotpreview-na1.com"
"Contract Playbook Guide DE","Default CTA","Blog performance","2022-11-17","2022-11-17","19","0.10526315789473684","2","1.0","2","b469f5db-85e2-4925-894c-894a1b2195bd","84cccad0-f764-4f67-a677-c3fcef0bae3a","https://www.legartis.ai/de/resources/contract-playbook-guide"
"Contract Playbook Guide EN","Default CTA","","2022-11-17","2022-11-17","6","0.0","0","0.0","0","07f6f213-4355-41f9-a989-75b8d96e177a","6410d95a-98d7-424e-b5f2-564bfccd6549","https://www.legartis.ai/resources/contractplaybookguide"
"CTA DE Contract Review Software","Default CTA","Blog performance","2022-11-18","2022-11-18","16","0.25","4","0.5","2","3531648a-d147-427d-a795-eb233403f9fe","f174c3b6-5363-44e5-a99f-28769d93ab09","https://resources.legartis.ai/infografik-contract-review-software"
"CTA-download-Legal-tech-map","Default CTA","Legal Tech Map","2022-09-08","2022-09-08","129","0.06201550387596899","8","0.25","2","b4e3add0-472f-40d0-b180-1f6a7bdedc1e","d2cddf96-3bea-4986-a18d-4fe9e084601f","https://www.legartis.ai/de/resources/legal-tech-unternehmen"
"CTA-Legal-Tech-Webinar-Hauptpage","Default CTA","Webinar-David-Mai-Juni2022","2022-09-08","2022-09-08","208","0.004807692307692308","1","0.0","0","5db71888-abff-489b-9844-c7884fc7045c","3455b3a1-f058-4a8d-a4b9-6be614a6f11c","https://www.legartis.ai/de/legal-tech-webinare"
"DE - Mehr erfahren - Product Page - Home Page Hero","Default CTA","","2021-12-02","2021-12-02","580","0.020689655172413793","12","0.0","0","54a56373-9100-48c0-a050-1c82d924df0b","06e89181-7691-4e10-8b66-9cd38e5b8885","https://www.legartis.ai/de/ai-contract-review"
"DE Blog Business WF Weiterlesen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","04a0637a-69b0-4686-8862-dd88310a23a4","e9a868d7-f79f-40a0-9caa-68e752f9608b","https://www.legartis.ai/de/blog/vertragspruefung"
"DE Blog Digitale Rechtsabteilung","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","c5a6e33f-5dfc-4ee4-97c5-154d827f0e2b","9fa16623-6eb7-4334-9c11-925de016e4d4","https://www.legartis.ai/de/blog/schritte-auf-dem-weg-zur-digitalen-rechtsabteilung"
"DE Blog Verträge mit KI","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","5579a48f-feae-483b-89bd-dece3cbf631d","6e3584b4-1b89-466b-83f8-33ac6698f5f1","https://www.legartis.ai/de/blog/vertraege-mit-kuenstlicher-intelligenz-prüfen"
"DE Book Demo (Solution Briefs ongoing)","Default CTA","Solution Briefs","2021-07-07","2021-07-07","0","0.0","0","0.0","0","c84a7e96-0eb0-43a6-b155-6a23567b7b99","b4ce81a1-3f19-4d77-99f9-59972b3e3746","https://www.legartis.ai/de/resources/book-live-demo"
"DE Book Demo (Whitepaper)","Default CTA","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","7d60eb6f-fe90-4c17-8229-4353c6e76ea7","0f0671ae-9527-4dc9-8a17-eaa8c1d05c20","https://www.legartis.ai/de/resources/book-live-demo"
"DE Demo anfordern","Variation 1","Product Demo","2021-09-17","2021-09-17","2642","0.002271006813020439","6","0.5","3","5d5d496b-792f-4826-97b1-5acdfb7405cb","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/book-live-demo"
"DE Demo anfordern","Variation 2","Product Demo","2021-09-21","2021-09-21","0","0.0","0","0.0","0","897be18f-02e8-45d1-af7d-7741c6da5aad","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE Demo anfordern","Variation 3","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","a33ccef8-51fe-4858-b960-2fbc794f3bf8","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE Demo anfordern","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","e285d228-959e-4acc-9234-5cb5d9c172cf","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE E-Mail Termin Buchen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","6c4acd77-d5ed-47cc-82d7-c17a718555d7","fb846c01-1de5-4372-9327-b6e206c1d9e7","https://www.legartis.ai/de/resources/get-in-touch"
"DE HAWE Blog Weiterlesen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","f6317d3a-a445-4b0e-876d-219b9c149b9a","ead920b5-b285-4690-b4eb-cce97a8dc386","https://www.legartis.ai/de/blog/hawe-hydraulik-setzt-auf-intelligente-legaltech"
"DE Kontakt aufnehmen","Variation 1","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","84f34ab8-b978-4f78-9512-15c308746b84","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/book-live-demo"
"DE Kontakt aufnehmen","Variation 2","Product Demo","2021-09-17","2021-09-17","580","0.005172413793103448","3","0.0","0","afee4e0f-83d4-4f09-adb9-0faa97f801f4","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
"DE Kontakt aufnehmen","Variation 3","Product Demo","2021-09-21","2021-09-21","0","0.0","0","0.0","0","b6ee90ed-cf5d-4ef1-a403-100811283d1d","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
"DE Kontakt aufnehmen","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","e69bb086-fb48-47e1-84e6-d767b2a81443","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
