"Top Level CTA Data","Date range: 2022-11-02 - 2022-12-01"
"CTA Name","Campaign","Created At","Updated At","Views","Views -> Clicks","Clicks","Clicks -> Submisisons","Submissions","CTA Group ID"
"Beratungsgespräch buchen","Blog performance","2022-08-23","2022-08-23","0","0.0","0","0.0","0","cefa9b6b-9f72-4163-a57b-a3f391cd19e2"
"Blog CTA DE Beratungsgespräch Buchen","","2022-05-25","2022-05-25","0","0.0","0","0.0","0","a87ffb8b-dd5c-41d3-9d07-29f572a96235"
"Blog CTA DE Legal Tech Guide","Whitepaper","2022-05-25","2022-05-25","52","0.0","0","0.0","0","b94721bf-fbb3-4617-8613-99edf93aa88a"
"Blog CTA DE Legal Tech Infographic","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","10","0.2","2","1.0","2","ced1c6e4-c609-413b-bd81-dcd47444dd9f"
"Blog CTA DE Legal Tech Map","Legal Tech Map","2022-05-25","2022-05-25","269","0.01486988847583643","4","0.5","2","79b79437-f2d2-490e-ac0d-f2e12ebb0d44"
"Blog CTA EN Legal Tech Guide","Whitepaper","2022-05-25","2022-05-25","11","0.0","0","0.0","0","0225801c-dc07-4f45-9978-9500c3a1e08c"
"Blog CTA EN Legal Tech Infographic","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","4","0.0","0","0.0","0","d91c9b40-517c-4c3d-b556-09650133a08d"
"Blog CTA EN Legal Tech Map","Legal Tech Map","2022-05-25","2022-05-25","79","0.0","0","0.0","0","d79a56df-a339-4fcc-9e58-32414d6a5d60"
"Blog CTA EN Solution Brief Legal","Solution Briefs","2022-05-25","2022-05-25","15","0.0","0","0.0","0","33d4d35a-d31e-41b5-9472-1ff0df82ff51"
"Book Demo","Product Demo","2021-04-08","2021-04-08","0","0.0","0","0.0","0","60f2dff1-53e9-4c47-bf08-f28b74669d15"
"Book Free Consultation","Webinar reinvent & ZF","2021-03-15","2021-03-15","0","0.0","0","0.0","0","0910fecf-acc9-4e6a-aae6-ecf3860c9041"
"Book Live Demo","Solution Briefs","2021-06-04","2021-06-07","0","0.0","0","0.0","0","50c0b7c9-0e41-470d-ae70-ee13d7333101"
"Button CTA","","2022-07-18","2022-07-18","0","0.0","0","0.0","0","99c66a67-02e3-43d4-b6c7-c60f585fdf0f"
"Contract Playbook Guide DE","Blog performance","2022-11-17","2022-11-17","19","0.10526315789473684","2","1.0","2","84cccad0-f764-4f67-a677-c3fcef0bae3a"
"Contract Playbook Guide EN","","2022-11-17","2022-11-17","6","0.0","0","0.0","0","6410d95a-98d7-424e-b5f2-564bfccd6549"
"CTA DE Contract Review Software","Blog performance","2022-11-18","2022-11-18","16","0.25","4","0.5","2","f174c3b6-5363-44e5-a99f-28769d93ab09"
"CTA-download-Legal-tech-map","Legal Tech Map","2022-09-08","2022-09-08","129","0.06201550387596899","8","0.25","2","d2cddf96-3bea-4986-a18d-4fe9e084601f"
"CTA-Legal-Tech-Webinar-Hauptpage","Webinar-David-Mai-Juni2022","2022-09-08","2022-09-08","208","0.004807692307692308","1","0.0","0","3455b3a1-f058-4a8d-a4b9-6be614a6f11c"
"DE - Mehr erfahren - Product Page - Home Page Hero","","2021-12-02","2021-12-02","580","0.020689655172413793","12","0.0","0","06e89181-7691-4e10-8b66-9cd38e5b8885"
"DE Blog Business WF Weiterlesen","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","e9a868d7-f79f-40a0-9caa-68e752f9608b"
"DE Blog Digitale Rechtsabteilung","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","9fa16623-6eb7-4334-9c11-925de016e4d4"
"DE Blog Verträge mit KI","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","6e3584b4-1b89-466b-83f8-33ac6698f5f1"
"DE Book Demo (Solution Briefs ongoing)","Solution Briefs","2021-07-07","2021-07-07","0","0.0","0","0.0","0","b4ce81a1-3f19-4d77-99f9-59972b3e3746"
"DE Book Demo (Whitepaper)","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","0f0671ae-9527-4dc9-8a17-eaa8c1d05c20"
"DE Demo anfordern","Product Demo","2021-09-17","2021-09-21","2642","0.002271006813020439","6","0.5","3","f06944e3-ec81-4e17-bea6-843c0f831b5d"
"DE E-Mail Termin Buchen","Whitepaper","2021-09-20","2021-09-21","0","0.0","0","0.0","0","fb846c01-1de5-4372-9327-b6e206c1d9e7"
"DE HAWE Blog Weiterlesen","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","ead920b5-b285-4690-b4eb-cce97a8dc386"
"DE Kontakt aufnehmen","Product Demo","2021-09-17","2021-09-21","580","0.005172413793103448","3","0.0","0","08cd7d7e-fc83-4433-a154-585544ccc705"
"DE LEXR Angebot","","2021-10-28","2021-10-28","0","0.0","0","0.0","0","a11eae0f-8659-4c19-b1c3-6167bffe2ae3"
"DE Webinar Anmeldung HAWE","Webinar HAWE","2021-09-10","2021-09-10","0","0.0","0","0.0","0","90529c2e-4f02-4b17-8ffe-502cd43090d5"
"Demo Reservieren","Product Demo","2021-03-28","2021-06-04","0","0.0","0","0.0","0","ba924af4-f389-4ecb-9c4e-c3ea9485d28b"
"Download Legal Tech Map DE","Legal Tech Map","2022-08-17","2022-08-23","0","0.0","0","0.0","0","877fc25b-15ea-4d60-a247-e691f471a794"
"EN - Learn More - Product Page - Home Page Hero","","2021-12-02","2021-12-02","817","0.01346389228886169","11","0.0","0","fa31f145-93e5-4361-93ca-480ab04ced5a"
"EN Blog Business WF Weiterlesen","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","a4b183ee-4e66-4427-b7d7-3277d35d5a3e"
"EN Blog Contracts with AI","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","182232e7-dc5d-4034-b460-0f17a7c47862"
"EN Blog Digitalized Legal Department","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","42b7b539-1903-4ffe-a78e-6e0191168333"
"EN Book Demo (Solution Briefs ongoing)","Solution Briefs","2021-07-07","2021-07-07","0","0.0","0","0.0","0","d8270033-e4e5-49b8-9f58-13757d249af6"
"EN Book Demo (Whitepaper)","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","cea18d3d-7646-4607-98ef-3cb5c1384a41"
"EN Contact Us","Product Demo","2021-09-17","2021-09-21","775","0.02193548387096774","17","0.0","0","50981bd9-09c3-469b-9d89-af056f601b6b"
"EN Contact Us (Clone)","Product Demo","2022-11-21","2022-11-21","43","0.0","0","0.0","0","70a68342-eccc-44f4-ab33-5206a0c73144"
"EN E-Mail Termin Buchen","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","0675454d-e08f-4bae-9b82-9aa95fff4c0a"
"EN HAWE Blog Weiterlesen","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","5ec3b689-1ffc-415a-9836-7cd43ab9fae5"
"EN Request A Demo","Product Demo","2021-09-17","2021-09-21","1727","0.003474232773595831","6","0.0","0","a961e2a6-3d7f-4533-8915-f92e7a81f496"
"Generic Quad LP CTA","","2020-07-06","2020-07-06","0","0.0","0","0.0","0","4fe1cc3c-f56d-4d99-b6a3-ff9810e592b8"
"Help us get better","","2020-07-29","2020-07-29","0","0.0","0","0.0","0","c04d8159-1d08-4e75-9a86-a39116916707"
"Inspire Cta","","2020-07-06","2020-07-06","0","0.0","0","0.0","0","0e9466f6-b873-4a7f-88a4-07d956300909"
"Legal Technology Schritt-um-Schritt-DE","Testimonials","2022-10-13","2022-10-13","5","0.0","0","0.0","0","421673d8-e3e6-47f0-b79b-df677f670ec8"
"Legal Technology Step-by-Step","Testimonials","2022-10-13","2022-10-17","6","0.16666666666666666","1","0.0","0","cf890c0c-9ee9-448d-9093-8f5cf6c0b591"
"Live Demo Buchen","Solution Briefs","2021-06-04","2021-06-07","0","0.0","0","0.0","0","9a888bda-cb40-488f-8bb2-98a8a5818c28"
"My CTA (21. Nov. 2022 17:37)","","2022-11-21","2022-11-21","0","0.0","0","0.0","0","74fc8e36-8d5f-4a3b-a54e-18b3de69ea8d"
"Solution Brief DL Legal DE","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","818c1d10-d740-48df-aca7-30b21259ee53"
"Solution Brief DL Legal EN","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","eaf75a9f-f490-4da7-8177-3095d3a1dcb1"
"Solution Brief DL Procurement DE","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","43587a82-4215-4033-b648-487d1c3f7d06"
"Solution Brief DL Procurement EN","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","f42bc36d-4a68-4452-8d69-7e5c22493a8f"
"Solution Brief DL Sales DE","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","b4743888-28c7-4a1a-9aac-d0531b6bf71f"
"Solution Brief DL Sales EN","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","ff5bf106-0f8b-4dc6-b466-1b0ec980bb8c"
"Start shopping now","","2019-08-21","2019-08-21","0","0.0","0","0.0","0","5e69262a-42de-4747-921d-91353029d49c"
"Warm/Cold Mail Kampagne - Yacine Kalender CTA","Warm/Cold Mail Mai 2020","2020-04-27","2020-04-27","0","0.0","0","0.0","0","8b52c2bf-9c1d-4ab5-90a9-5c195e4baa83"
"Webinar Sign-Up","Webinar reinvent & ZF","2021-03-04","2021-03-04","0","0.0","0","0.0","0","0b2aafc5-8fc7-4b08-87ad-aecb9b2abd68"
"webinar-legal-tech-063022","Webinar-David-Mai-Juni2022","2022-06-01","2022-06-21","0","0.0","0","0.0","0","96b1c0a3-4de1-4b15-97c3-6ca35df8496a"
"Whitepaper DL DE","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","96b13be2-dc1b-4cbe-812c-da24857ba1d9"
"Whitepaper DL EN","Whitepaper","2021-06-29","2021-06-29","1","0.0","0","0.0","0","0b3b2f6c-bc3e-479f-b93f-9a9281c2811f"
